,WRR14,WRR14,WRR14,WUE,WUE,WUE,NUE,NUE,NUE,ET_WUE,ET_WUE,ET_WUE,WRR14,WUE,NUE,ET_WUE
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,sem,sem,sem,sem
Treatment_Combo,,,,,,,,,,,,,,,,
W1_100%N,7277.908108108108,2296.1275825202333,37,23.884602782549827,7.124969921441776,37,40.43282282282282,12.756264347334628,37,19.91646041138202,6.817589464162081,37,377.4810492902246,1.1713378396661591,2.0971169405012473,1.1208048037719196
W1_90%N,7203.299999999999,2302.7322527332135,37,23.64611005480123,7.204522419776654,37,44.464814814814815,14.214396621809959,37,19.738853883448314,6.8186030526638906,37,378.5668503847244,1.1844161898300243,2.3368324097822493,1.1209714366951615
W1_80%N,7146.027027027027,2228.2504148931444,37,23.460779703014726,6.933314417869214,37,49.625187687687685,15.473961214535727,37,19.627787222489218,6.643386217845767,37,366.32211167117515,1.1398298689673316,2.54390355327205,1.0921659664922119
W1_70%N,6981.172972972973,2146.2574912376413,37,22.929672697632363,6.6943964354598515,37,55.40613470613471,17.03378961299715,37,19.248639204926043,6.477472842091849,37,352.842558056005,1.1005519946101934,2.8003377623492454,1.0648899755378547
W1_60%N,6621.2108108108105,1947.8991635981945,37,21.79265534755223,6.194431471908505,37,61.30750750750751,18.036103366649947,37,18.384465725098686,5.963500691361647,37,320.2326498684957,1.0183582609141921,2.965117128411997,0.9803934744546529
W1_50%N,6048.1540540540545,1671.1423389397437,37,20.027573971266687,5.76981931823041,37,67.20171171171171,18.5682482104416,37,16.979584612282405,5.191542822627184,37,274.73410816480003,0.9485524528519664,3.052601201831112,0.8534843825923053
W2_100%N,9449.786486486486,675.7686702161071,37,24.401686670489347,4.609570648557587,37,52.49881381381381,3.754270390089486,37,25.103565235514978,2.9645023592244457,37,111.09568503621598,0.7578087465353663,0.6171982502012002,0.4873611857208414
W2_90%N,9449.308108108109,696.6147402412048,37,24.335149543941853,4.657896610744872,37,58.32906239572906,4.300090989143238,37,24.934586964831546,2.9334088266257914,37,114.5227578376386,0.765753485779513,0.7069306039360406,0.48224944044987655
W2_80%N,9355.57027027027,692.989996666965,37,24.229342924250396,4.797011869665619,37,64.969237987988,4.812430532409479,37,24.763014794288267,2.9788594882361985,37,113.92685366479198,0.7886238934648063,0.7911587060054999,0.48972148319098596
W2_70%N,9043.318918918918,680.0150365322147,37,23.372872196843176,4.5788632384580685,37,71.77237237237236,5.396944734382658,37,24.028882873096773,2.9911940612031636,37,111.79378335831164,0.7527604794122352,0.8872522488754896,0.491749274495599
W2_60%N,8368.456756756757,612.7993302780196,37,21.64630748168132,4.076677446900068,37,77.4857107107107,5.674067872944621,37,22.38306927938205,2.870435370470556,37,100.7435893191076,0.6702016438409607,0.9328110122139583,0.4718966680308375
W2_50%N,7416.9405405405405,517.2471714435627,37,19.253368382697715,3.526218025043737,37,82.41045045045044,5.747190793817364,37,20.044899556947342,2.5792493689440503,37,85.03491117188223,0.5797066723350874,0.9448323463542471,0.42402598426238375
W3_100%N,9750.87027027027,697.1762932098405,37,21.372005102969734,3.176955400811364,37,54.1715015015015,3.873201628943558,37,23.049019778473063,2.525615153477155,37,114.61507657700064,0.5222882506076737,0.6367504254277812,0.41520857355470886
W3_90%N,9745.735135135135,706.7421355991389,37,21.214088851480927,3.0526696543007437,37,60.158858858858856,4.362605775303325,37,22.86524676378547,2.4332380301318395,37,116.18769137852395,0.5018557997448374,0.7172079714723697,0.40002186802655687
W3_80%N,9661.094594594595,677.9916116925971,37,20.68771875552123,2.953845501474505,37,67.09093468468468,4.708275081198594,37,22.519917949687862,2.4014080076324595,37,111.46113436379,0.4856092090988939,0.7740356553040978,0.39478904456175207
W3_70%N,9252.694594594595,673.0955764005361,37,19.755948791027787,2.812159337507631,37,73.43408408408409,5.342028384131239,37,21.49358058121593,2.3868500558482526,37,110.65623111996388,0.46231614722755904,0.8782240565076499,0.3923957320311882
W3_60%N,8407.064864864866,603.1553062466194,37,17.90993822800847,2.564460021753419,37,77.84319319319319,5.584771354135366,37,19.49535045700912,2.277859257739038,37,99.15812153479688,0.4215946305613366,0.9181307549518232,0.37447775519643073
W3_50%N,7412.84054054054,513.2387734657121,37,15.795911935441849,2.2859378545569347,37,82.3648948948949,5.702653038507915,37,17.14784679038274,2.085854294115255,37,84.37593460360677,0.3758058683321412,0.93751038448452,0.34291233361907886
W1_0N,3267.9054054054054,520.3782283354343,37,11.312507506319928,3.6139645523038655,37,,,0,11.929472414277168,2.5624645303462805,37,85.54965375410139,0.5941321125562145,,0.4212665737948265
